month,division,line,day_type,reporting_category,subcategory,delays
2025-01-01,A DIVISION,1,1,Crew Availability,Crew Availability,57
2025-01-01,A DIVISION,1,1,External Factors,External Agency or Utility,3
2025-01-01,A DIVISION,1,1,External Factors,External Debris on Roadbed,27
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Braking,24
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Door-Related,58
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,"Fire, Smoke, Debris",14
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Other - CE,24
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Other - Sig,271
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Other Infrastructure,24
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Other Internal Disruptions,3
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Propulsion,6
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Rail and Roadbed,86
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Service Delivery,51
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,24
2025-01-01,A DIVISION,1,1,Operating Conditions,Other Operating Environment,156
2025-01-01,A DIVISION,1,1,Planned ROW Work,Capital Work - Other Planned ROW,6
2025-01-01,A DIVISION,1,1,Planned ROW Work,Subways Maintenance,269
2025-01-01,A DIVISION,1,1,Planned ROW Work,Work Equipment,9
2025-01-01,A DIVISION,1,1,Police & Medical,Persons on Roadbed,104
2025-01-01,A DIVISION,1,1,Police & Medical,"Public Conduct, Crime, Police Response",339
2025-01-01,A DIVISION,1,1,Police & Medical,Sick/Injured Customer,99
2025-01-01,A DIVISION,1,2,Crew Availability,Crew Availability,17
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Braking,6
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Door-Related,16
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,"Fire, Smoke, Debris",12
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Other - CE,30
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Other - Sig,52
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Propulsion,6
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Rail and Roadbed,4
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Service Delivery,9
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,2
2025-01-01,A DIVISION,1,2,Operating Conditions,Other Operating Environment,21
2025-01-01,A DIVISION,1,2,Planned ROW Work,Capital Work - Other Planned ROW,101
2025-01-01,A DIVISION,1,2,Planned ROW Work,Insufficient Supplement Schedule,19
2025-01-01,A DIVISION,1,2,Planned ROW Work,Subways Maintenance,74
2025-01-01,A DIVISION,1,2,Planned ROW Work,Work Equipment,2
2025-01-01,A DIVISION,1,2,Police & Medical,Persons on Roadbed,24
2025-01-01,A DIVISION,1,2,Police & Medical,"Public Conduct, Crime, Police Response",97
2025-01-01,A DIVISION,1,2,Police & Medical,Sick/Injured Customer,20
2025-01-01,A DIVISION,2,1,Crew Availability,Crew Availability,36
2025-01-01,A DIVISION,2,1,External Factors,External Agency or Utility,51
2025-01-01,A DIVISION,2,1,External Factors,External Debris on Roadbed,32
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Braking,22
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Door-Related,3
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,"Fire, Smoke, Debris",74
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Other - CE,23
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Other - Sig,274
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Other Infrastructure,33
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Other Internal Disruptions,42
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Propulsion,35
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Rail and Roadbed,67
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Service Delivery,53
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,38
2025-01-01,A DIVISION,2,1,Operating Conditions,Other Operating Environment,159
2025-01-01,A DIVISION,2,1,Planned ROW Work,Capital Work - Other Planned ROW,4
2025-01-01,A DIVISION,2,1,Planned ROW Work,Subways Maintenance,278
2025-01-01,A DIVISION,2,1,Planned ROW Work,Work Equipment,4
2025-01-01,A DIVISION,2,1,Police & Medical,Persons on Roadbed,140
2025-01-01,A DIVISION,2,1,Police & Medical,"Public Conduct, Crime, Police Response",533
2025-01-01,A DIVISION,2,1,Police & Medical,Sick/Injured Customer,134
2025-01-01,A DIVISION,2,2,Crew Availability,Crew Availability,13
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Door-Related,8
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Other - CE,4
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Other - Sig,37
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Other Internal Disruptions,8
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Propulsion,14
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Rail and Roadbed,8
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Service Delivery,11
