month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2015-01-01,Bronx,1,EXP,BXM1,Off-Peak,2197,2463,0.892001624
2015-01-01,Bronx,1,EXP,BXM1,Peak,1254,1647,0.761384335
2015-01-01,Bronx,1,EXP,BXM10,Off-Peak,1696,1876,0.904051173
2015-01-01,Bronx,1,EXP,BXM10,Peak,1290,1614,0.799256506
2015-01-01,Bronx,1,EXP,BXM11,Off-Peak,1808,2073,0.872165943
2015-01-01,Bronx,1,EXP,BXM11,Peak,1033,1450,0.712413793
2015-01-01,Bronx,1,EXP,BXM18,Off-Peak,103,132,0.78030303
2015-01-01,Bronx,1,EXP,BXM18,Peak,422,501,0.842315369
2015-01-01,Bronx,1,EXP,BXM2,Off-Peak,2157,2476,0.871163166
2015-01-01,Bronx,1,EXP,BXM2,Peak,908,1228,0.739413681
2015-01-01,Bronx,1,EXP,BXM3,Off-Peak,1485,1750,0.848571429
2015-01-01,Bronx,1,EXP,BXM3,Peak,761,995,0.764824121
2015-01-01,Bronx,1,EXP,BXM4,Off-Peak,848,1003,0.845463609
2015-01-01,Bronx,1,EXP,BXM4,Peak,471,590,0.798305085
2015-01-01,Bronx,1,EXP,BXM6,Off-Peak,740,796,0.929648241
2015-01-01,Bronx,1,EXP,BXM6,Peak,481,596,0.80704698
2015-01-01,Bronx,1,EXP,BXM7,Off-Peak,4173,4579,0.911334352
2015-01-01,Bronx,1,EXP,BXM7,Peak,2465,2942,0.837865398
2015-01-01,Bronx,1,EXP,BXM8,Off-Peak,1639,1861,0.880709296
2015-01-01,Bronx,1,EXP,BXM8,Peak,1566,1930,0.811398964
2015-01-01,Bronx,1,EXP,BXM9,Off-Peak,1854,2035,0.911056511
2015-01-01,Bronx,1,EXP,BXM9,Peak,1330,1898,0.700737619
2015-01-01,Bronx,2,EXP,BXM1,Off-Peak,771,858,0.898601399
2015-01-01,Bronx,2,EXP,BXM1,Peak,324,398,0.814070352
2015-01-01,Bronx,2,EXP,BXM10,Off-Peak,655,723,0.905947441
2015-01-01,Bronx,2,EXP,BXM10,Peak,302,327,0.923547401
2015-01-01,Bronx,2,EXP,BXM11,Off-Peak,691,859,0.804423749
2015-01-01,Bronx,2,EXP,BXM11,Peak,300,363,0.826446281
2015-01-01,Bronx,2,EXP,BXM18,Off-Peak,8,8,1
2015-01-01,Bronx,2,EXP,BXM18,Peak,22,26,0.846153846
2015-01-01,Bronx,2,EXP,BXM2,Off-Peak,679,889,0.763779528
2015-01-01,Bronx,2,EXP,BXM2,Peak,295,385,0.766233766
2015-01-01,Bronx,2,EXP,BXM3,Off-Peak,611,683,0.894582723
2015-01-01,Bronx,2,EXP,BXM3,Peak,246,297,0.828282828
2015-01-01,Bronx,2,EXP,BXM4,Off-Peak,486,547,0.888482633
2015-01-01,Bronx,2,EXP,BXM4,Peak,203,225,0.902222222
