month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2025-01-01,Bronx,1,LCL/LTD,BX1,Off-Peak,10646,13005,0.818608
2025-01-01,Bronx,1,LCL/LTD,BX1,Peak,4684,6736,0.695368
2025-01-01,Bronx,2,LCL/LTD,BX1,Off-Peak,2186,2691,0.812337
2025-01-01,Bronx,2,LCL/LTD,BX1,Peak,918,1208,0.759934
2025-01-01,Bronx,1,LCL/LTD,BX10,Off-Peak,13550,15951,0.849477
2025-01-01,Bronx,1,LCL/LTD,BX10,Peak,6154,8179,0.752415
2025-01-01,Bronx,2,LCL/LTD,BX10,Off-Peak,2706,3155,0.857686
2025-01-01,Bronx,2,LCL/LTD,BX10,Peak,1064,1222,0.870704
2025-01-01,Bronx,1,LCL/LTD,BX11,Off-Peak,14802,18705,0.791339
2025-01-01,Bronx,1,LCL/LTD,BX11,Peak,6675,9718,0.68687
2025-01-01,Bronx,2,LCL/LTD,BX11,Off-Peak,3328,4313,0.771621
2025-01-01,Bronx,2,LCL/LTD,BX11,Peak,1335,1746,0.764605
2025-01-01,Bronx,1,LCL/LTD,BX12,Off-Peak,13417,15402,0.871121
2025-01-01,Bronx,1,LCL/LTD,BX12,Peak,4647,6039,0.769498
2025-01-01,Bronx,2,LCL/LTD,BX12,Off-Peak,3978,4799,0.828923
2025-01-01,Bronx,2,LCL/LTD,BX12,Peak,1249,1494,0.836011
2025-01-01,Bronx,1,SBS,BX12+,Off-Peak,5768,6698,0.861153
2025-01-01,Bronx,1,SBS,BX12+,Peak,2883,3629,0.794434
2025-01-01,Bronx,2,SBS,BX12+,Off-Peak,1347,1550,0.869032
2025-01-01,Bronx,2,SBS,BX12+,Peak,589,710,0.829577
2025-01-01,Bronx,1,LCL/LTD,BX13,Off-Peak,9745,11300,0.862389
2025-01-01,Bronx,1,LCL/LTD,BX13,Peak,4280,5684,0.752991
2025-01-01,Bronx,2,LCL/LTD,BX13,Off-Peak,2586,2811,0.919957
2025-01-01,Bronx,2,LCL/LTD,BX13,Peak,1089,1255,0.867729
2025-01-01,Bronx,1,LCL/LTD,BX15,Off-Peak,10286,14009,0.734242
