month,division,line,day_type,period,num_timepoints_passing_wait _assessment,num_sched_timepoints,wait assessment
2015-01-01,A DIVISION,1,1,offpeak,17864,22636,78.9185368
2015-01-01,A DIVISION,1,1,peak,10540,15019,70.1777748
2015-01-01,A DIVISION,1,2,offpeak,6601,7496,88.0602988
2015-01-01,A DIVISION,1,2,peak,3177,3656,86.8982495
2015-01-01,A DIVISION,2,1,offpeak,18357,24256,75.6802441
2015-01-01,A DIVISION,2,1,peak,10154,15882,63.9340133
2015-01-01,A DIVISION,2,2,offpeak,5746,7373,77.9329988
2015-01-01,A DIVISION,2,2,peak,2964,3768,78.6624204
2015-01-01,A DIVISION,3,1,offpeak,16719,21119,79.1656802
2015-01-01,A DIVISION,3,1,peak,9500,13575,69.9815838
2015-01-01,A DIVISION,3,2,offpeak,4534,5356,84.6527259
2015-01-01,A DIVISION,3,2,peak,2304,2730,84.3956044
2015-01-01,A DIVISION,4,1,offpeak,20484,27717,73.9041022
2015-01-01,A DIVISION,4,1,peak,12832,20912,61.3618975
2015-01-01,A DIVISION,4,2,offpeak,7801,10751,72.560692
2015-01-01,A DIVISION,4,2,peak,4102,5866,69.928401
2015-01-01,A DIVISION,5,1,offpeak,15190,21279,71.3849335
2015-01-01,A DIVISION,5,1,peak,10417,17393,59.8919105
2015-01-01,A DIVISION,5,2,offpeak,2743,4107,66.78841
2015-01-01,A DIVISION,5,2,peak,1308,2214,59.0785908
2015-01-01,A DIVISION,6,1,offpeak,17334,25667,67.5341879
2015-01-01,A DIVISION,6,1,peak,11017,18713,58.8735104
2015-01-01,A DIVISION,6,2,offpeak,3572,4587,77.8722477
2015-01-01,A DIVISION,6,2,peak,1797,2392,75.1254181
2015-01-01,A DIVISION,7,1,offpeak,11078,14068,78.7460904
2015-01-01,A DIVISION,7,1,peak,8081,12022,67.2184329
2015-01-01,A DIVISION,7,2,offpeak,2845,3369,84.4464233
2015-01-01,A DIVISION,7,2,peak,1536,1905,80.6299213
2015-01-01,A DIVISION,S 42nd,1,offpeak,5214,5683,91.7473166
2015-01-01,A DIVISION,S 42nd,1,peak,4437,5746,77.2189349
2015-01-01,A DIVISION,S 42nd,2,offpeak,1910,1928,99.06639
2015-01-01,A DIVISION,S 42nd,2,peak,1120,1132,98.9399293
2015-01-01,B DIVISION,A,1,offpeak,12769,17775,71.8368495
2015-01-01,B DIVISION,A,1,peak,8799,13182,66.7501138
2015-01-01,B DIVISION,A,2,offpeak,4624,7027,65.80333
2015-01-01,B DIVISION,A,2,peak,2447,3870,63.2299742
2015-01-01,B DIVISION,B,1,offpeak,7096,8496,83.5216573
2015-01-01,B DIVISION,B,1,peak,5548,7452,74.4498121
2015-01-01,B DIVISION,C,1,offpeak,8170,10522,77.6468352
2015-01-01,B DIVISION,C,1,peak,4776,6508,73.3866011
2015-01-01,B DIVISION,C,2,offpeak,2803,3123,89.7534422
2015-01-01,B DIVISION,C,2,peak,1638,1876,87.3134328
2015-01-01,B DIVISION,D,1,offpeak,10568,12823,82.4144116
2015-01-01,B DIVISION,D,1,peak,6361,8377,75.9341053
2015-01-01,B DIVISION,D,2,offpeak,4694,6011,78.090168
2015-01-01,B DIVISION,D,2,peak,2540,3194,79.5241077
2015-01-01,B DIVISION,E,1,offpeak,9770,12970,75.3276793
2015-01-01,B DIVISION,E,1,peak,6368,9265,68.7317863
2015-01-01,B DIVISION,E,2,offpeak,3027,3687,82.0992677
2015-01-01,B DIVISION,E,2,peak,1501,1890,79.4179894
2015-01-01,B DIVISION,F,1,offpeak,13987,19279,72.5504435
2015-01-01,B DIVISION,F,1,peak,9105,13907,65.4706263
2015-01-01,B DIVISION,F,2,offpeak,4579,5705,80.2629273
2015-01-01,B DIVISION,F,2,peak,2335,2922,79.9110198
2015-01-01,B DIVISION,G,1,offpeak,4489,5310,84.5386064
2015-01-01,B DIVISION,G,1,peak,2706,3311,81.7275748
2015-01-01,B DIVISION,G,2,offpeak,1467,1575,93.1428571
2015-01-01,B DIVISION,G,2,peak,755,818,92.2982885
2015-01-01,B DIVISION,JZ,1,offpeak,8660,10358,83.6068739
2015-01-01,B DIVISION,JZ,1,peak,5783,7630,75.7929227
2015-01-01,B DIVISION,JZ,2,offpeak,3357,3546,94.6700508
2015-01-01,B DIVISION,JZ,2,peak,1838,1963,93.6321956
2015-01-01,B DIVISION,L,1,offpeak,17474,21494,81.2971062
2015-01-01,B DIVISION,L,1,peak,10447,13734,76.0666958
2015-01-01,B DIVISION,L,2,offpeak,6436,8406,76.5643588
2015-01-01,B DIVISION,L,2,peak,3251,4170,77.9616307
2015-01-01,B DIVISION,M,1,offpeak,9901,12465,79.4304051
2015-01-01,B DIVISION,M,1,peak,5803,8153,71.1762541
2015-01-01,B DIVISION,M,2,offpeak,1260,1298,97.0724191
2015-01-01,B DIVISION,M,2,peak,743,773,96.1190168
2015-01-01,B DIVISION,N,1,offpeak,13021,16595,78.4633926
2015-01-01,B DIVISION,N,1,peak,6986,9594,72.8163435
2015-01-01,B DIVISION,N,2,offpeak,4880,6016,81.1170213
2015-01-01,B DIVISION,N,2,peak,2574,3101,83.0054821
2015-01-01,B DIVISION,Q,1,offpeak,9655,12118,79.6748638
2015-01-01,B DIVISION,Q,1,peak,5852,7830,74.7381865
2015-01-01,B DIVISION,Q,2,offpeak,3191,3667,87.0193619
2015-01-01,B DIVISION,Q,2,peak,1595,1873,85.1575013
2015-01-01,B DIVISION,R,1,offpeak,12539,16334,76.7662544
2015-01-01,B DIVISION,R,1,peak,7915,11219,70.5499599
2015-01-01,B DIVISION,R,2,offpeak,4543,5397,84.1763943
2015-01-01,B DIVISION,R,2,peak,2373,2878,82.4530924
2015-01-01,B DIVISION,S Fkln,1,offpeak,1641,1867,87.8950187
2015-01-01,B DIVISION,S Fkln,1,peak,1050,1122,93.5828877
2015-01-01,B DIVISION,S Fkln,2,offpeak,496,509,97.4459725
2015-01-01,B DIVISION,S Fkln,2,peak,262,278,94.2446043
2015-01-01,B DIVISION,S Rock,1,offpeak,1557,1703,91.4268937
2015-01-01,B DIVISION,S Rock,1,peak,813,869,93.5558113
2015-01-01,B DIVISION,S Rock,2,offpeak,659,687,95.9243086
2015-01-01,B DIVISION,S Rock,2,peak,344,357,96.3585434
2015-02-01,A DIVISION,1,1,offpeak,17234,21433,80.4087155
2015-02-01,A DIVISION,1,1,peak,9940,14323,69.398869
2015-02-01,A DIVISION,1,2,offpeak,5705,6625,86.1132075
2015-02-01,A DIVISION,1,2,peak,2891,3217,89.8663351
2015-02-01,A DIVISION,2,1,offpeak,17027,22847,74.526196
2015-02-01,A DIVISION,2,1,peak,9561,15025,63.6339434
2015-02-01,A DIVISION,2,2,offpeak,5621,7290,77.1056241
2015-02-01,A DIVISION,2,2,peak,2994,3722,80.4406233
2015-02-01,A DIVISION,3,1,offpeak,16003,20081,79.6922464
2015-02-01,A DIVISION,3,1,peak,9004,12794,70.3767391
2015-02-01,A DIVISION,3,2,offpeak,3789,4640,81.6594828
2015-02-01,A DIVISION,3,2,peak,2021,2343,86.2569356
