month,division,line,day_type,period,num_timepoints_passing_wait _assessment,num_sched_timepoints,wait assessment
2025-01-01,A DIVISION,1,1,offpeak,22224,27641,0.804023
2025-01-01,A DIVISION,1,2,offpeak,6463,8111,0.79681915
2025-01-01,A DIVISION,1,1,peak,13911,17863,0.77876055
2025-01-01,A DIVISION,1,2,peak,3027,3755,0.80612516
2025-01-01,A DIVISION,2,1,offpeak,20620,30150,0.68391377
2025-01-01,A DIVISION,2,2,offpeak,6787,9539,0.71150017
2025-01-01,A DIVISION,2,1,peak,12271,18858,0.6507053
2025-01-01,A DIVISION,2,2,peak,3575,4847,0.73756963
2025-01-01,A DIVISION,3,1,offpeak,17459,23850,0.73203355
2025-01-01,A DIVISION,3,2,offpeak,6088,7618,0.7991599
2025-01-01,A DIVISION,3,1,peak,10663,15272,0.6982059
2025-01-01,A DIVISION,3,2,peak,3099,3694,0.838928
2025-01-01,A DIVISION,4,1,offpeak,25096,32862,0.76367843
2025-01-01,A DIVISION,4,2,offpeak,8133,10354,0.78549355
2025-01-01,A DIVISION,4,1,peak,15930,23669,0.6730322
2025-01-01,A DIVISION,4,2,peak,4398,5576,0.7887375
2025-01-01,A DIVISION,5,1,offpeak,17530,24814,0.706456
2025-01-01,A DIVISION,5,2,offpeak,3067,3680,0.8334239
2025-01-01,A DIVISION,5,1,peak,13189,20773,0.6349107
2025-01-01,A DIVISION,5,2,peak,1597,1910,0.8361257
2025-01-01,A DIVISION,6,1,offpeak,24055,31038,0.77501774
2025-01-01,A DIVISION,6,2,offpeak,6162,7717,0.79849684
2025-01-01,A DIVISION,6,1,peak,14898,20842,0.7148066
2025-01-01,A DIVISION,6,2,peak,3105,3816,0.8136792
2025-01-01,A DIVISION,7,1,offpeak,14914,18730,0.7962627
2025-01-01,A DIVISION,7,2,offpeak,3086,3726,0.828234
2025-01-01,A DIVISION,7,1,peak,10875,15180,0.7164032
2025-01-01,A DIVISION,7,2,peak,1793,2058,0.8712342
2025-01-01,A DIVISION,GS,1,offpeak,3290,3300,0.9969697
2025-01-01,A DIVISION,GS,2,offpeak,942,951,0.9905363
2025-01-01,A DIVISION,GS,1,peak,2198,2222,0.9891989
2025-01-01,A DIVISION,GS,2,peak,548,550,0.99636364
2025-01-01,B DIVISION,A,1,offpeak,15568,22294,0.6983045
2025-01-01,B DIVISION,A,2,offpeak,4307,5797,0.7429705
2025-01-01,B DIVISION,A,1,peak,10378,16153,0.64248127
2025-01-01,B DIVISION,A,2,peak,2387,3026,0.78883016
2025-01-01,B DIVISION,B,1,offpeak,6540,12161,0.5377847
2025-01-01,B DIVISION,B,1,peak,5145,8956,0.5744752
2025-01-01,B DIVISION,C,1,offpeak,10428,15505,0.67255723
2025-01-01,B DIVISION,C,2,offpeak,1914,2335,0.81970024
2025-01-01,B DIVISION,C,1,peak,5521,8323,0.66334254
2025-01-01,B DIVISION,C,2,peak,1092,1294,0.8438949
2025-01-01,B DIVISION,D,1,offpeak,11395,17421,0.65409565
2025-01-01,B DIVISION,D,2,offpeak,3716,4536,0.819224
2025-01-01,B DIVISION,D,1,peak,6421,10337,0.6211667
2025-01-01,B DIVISION,D,2,peak,1912,2329,0.8209532
2025-01-01,B DIVISION,E,1,offpeak,13763,18791,0.7324251
2025-01-01,B DIVISION,E,2,offpeak,4291,5336,0.8041604
2025-01-01,B DIVISION,E,1,peak,7391,13199,0.5599667
2025-01-01,B DIVISION,E,2,peak,2166,2756,0.78592163
2025-01-01,B DIVISION,F,1,offpeak,18022,30486,0.5911566
2025-01-01,B DIVISION,F,2,offpeak,5553,7076,0.7847654
2025-01-01,B DIVISION,F,1,peak,10130,21311,0.47534138
2025-01-01,B DIVISION,F,2,peak,2902,3568,0.8133408
2025-01-01,B DIVISION,FS,1,offpeak,2744,2784,0.9856322
2025-01-01,B DIVISION,FS,2,offpeak,1078,1092,0.98717946
2025-01-01,B DIVISION,FS,1,peak,1572,1584,0.99242425
2025-01-01,B DIVISION,FS,2,peak,611,621,0.9838969
2025-01-01,B DIVISION,G,1,offpeak,11165,14359,0.7775611
2025-01-01,B DIVISION,G,2,offpeak,4068,5153,0.789443
2025-01-01,B DIVISION,G,1,peak,6078,8118,0.7487066
2025-01-01,B DIVISION,G,2,peak,2020,2681,0.7534502
2025-01-01,B DIVISION,H,1,offpeak,1396,1492,0.93565685
2025-01-01,B DIVISION,H,2,offpeak,438,459,0.95424837
2025-01-01,B DIVISION,H,1,peak,711,756,0.9404762
2025-01-01,B DIVISION,H,2,peak,242,252,0.96031743
2025-01-01,B DIVISION,J,1,offpeak,10558,13233,0.7978538
2025-01-01,B DIVISION,J,2,offpeak,3534,4131,0.85548294
2025-01-01,B DIVISION,J,1,peak,6740,8779,0.7677412
2025-01-01,B DIVISION,J,2,peak,1915,2219,0.86300135
2025-01-01,B DIVISION,L,1,offpeak,20591,26273,0.78373235
2025-01-01,B DIVISION,L,2,offpeak,6918,8779,0.78801686
2025-01-01,B DIVISION,L,1,peak,11774,16006,0.73559916
2025-01-01,B DIVISION,L,2,peak,3539,4500,0.7864444
2025-01-01,B DIVISION,M,1,offpeak,12592,17091,0.73676205
2025-01-01,B DIVISION,M,2,offpeak,1974,2139,0.92286116
2025-01-01,B DIVISION,M,1,peak,8153,11461,0.711369
2025-01-01,B DIVISION,M,2,peak,1079,1147,0.9407149
2025-01-01,B DIVISION,N,1,offpeak,13163,19737,0.66692
2025-01-01,B DIVISION,N,2,offpeak,4914,6380,0.77021945
2025-01-01,B DIVISION,N,1,peak,7308,11790,0.61984736
2025-01-01,B DIVISION,N,2,peak,2628,3232,0.8131188
2025-01-01,B DIVISION,Q,1,offpeak,10705,14921,0.7174452
2025-01-01,B DIVISION,Q,2,offpeak,3756,4437,0.8465179
2025-01-01,B DIVISION,Q,1,peak,5940,8950,0.66368717
2025-01-01,B DIVISION,Q,2,peak,1953,2283,0.8554534
2025-01-01,B DIVISION,R,1,offpeak,11165,23495,0.47520748
2025-01-01,B DIVISION,R,2,offpeak,5342,6784,0.787441
2025-01-01,B DIVISION,R,1,peak,5412,15339,0.35282612
2025-01-01,B DIVISION,R,2,peak,2900,3647,0.7951741
2025-01-01,B DIVISION,W,1,offpeak,7288,9586,0.7602754
2025-01-01,B DIVISION,W,2,offpeak,275,286,0.96153843
2025-01-01,B DIVISION,W,1,peak,4436,6488,0.6837238
2025-01-01,B DIVISION,W,2,peak,172,186,0.9247312
2025-02-01,A DIVISION,1,1,offpeak,18343,23693,0.7741949
2025-02-01,A DIVISION,1,2,offpeak,6094,7470,0.8157965
2025-02-01,A DIVISION,1,1,peak,11532,15415,0.7481025
2025-02-01,A DIVISION,1,2,peak,2918,3565,0.81851333
2025-02-01,A DIVISION,2,1,offpeak,17923,25886,0.692382
2025-02-01,A DIVISION,2,2,offpeak,6212,8374,0.7418199
2025-02-01,A DIVISION,2,1,peak,10885,16060,0.67777085
2025-02-01,A DIVISION,2,2,peak,3290,4125,0.7975758
2025-02-01,A DIVISION,3,1,offpeak,15591,20458,0.76209795
2025-02-01,A DIVISION,3,2,offpeak,5254,7124,0.73750705
2025-02-01,A DIVISION,3,1,peak,9004,12768,0.7052005
2025-02-01,A DIVISION,3,2,peak,2677,3542,0.7557877
2025-02-01,A DIVISION,4,1,offpeak,21229,28320,0.74961156
2025-02-01,A DIVISION,4,2,offpeak,6524,8672,0.7523063
2025-02-01,A DIVISION,4,1,peak,13998,20441,0.68480015
2025-02-01,A DIVISION,4,2,peak,3415,4726,0.7225984
2025-02-01,A DIVISION,5,1,offpeak,15344,21329,0.7193961
2025-02-01,A DIVISION,5,2,offpeak,3294,3925,0.83923566
2025-02-01,A DIVISION,5,1,peak,11829,17947,0.6591074
2025-02-01,A DIVISION,5,2,peak,1742,2074,0.83992285
2025-02-01,A DIVISION,6,1,offpeak,19969,26363,0.7574631
2025-02-01,A DIVISION,6,2,offpeak,6229,7870,0.7914867
2025-02-01,A DIVISION,6,1,peak,12652,17966,0.7042191
2025-02-01,A DIVISION,6,2,peak,3039,3960,0.7674242
2025-02-01,A DIVISION,7,1,offpeak,12305,15932,0.77234495
2025-02-01,A DIVISION,7,2,offpeak,2937,3264,0.89981616
2025-02-01,A DIVISION,7,1,peak,8443,12834,0.65786195
2025-02-01,A DIVISION,7,2,peak,1679,1846,0.90953416
2025-02-01,A DIVISION,GS,1,offpeak,5607,5699,0.9838568
2025-02-01,A DIVISION,GS,2,offpeak,1814,1923,0.9433177
2025-02-01,A DIVISION,GS,1,peak,3763,3838,0.98045856
2025-02-01,A DIVISION,GS,2,peak,1123,1132,0.99204946
2025-02-01,B DIVISION,A,1,offpeak,13627,18859,0.7225728
2025-02-01,B DIVISION,A,2,offpeak,5281,6926,0.7624892
2025-02-01,B DIVISION,A,1,peak,9250,13669,0.6767137
